CoC_Number,Year,B01003_001E,B17001_002E,B25002_001E,B25002_003E,B25003_003E,B25003_001E,B25106_001E,B23025_003E,B23025_005E,B25064_001E,B19013_001E,Unemployment_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Poverty_Rate,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,"Total Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)",Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Year-Round Beds (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Year-Round PSH Beds,Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH),State Initials,Average Temperature
AK-500,2007,257633,21379,103203,7663,39036,95540,16455,141362,10720,56401,3728285,7.583367524511537,7.425171748883269,40.8582792547624,42.15339686443283,8.298238191536022,974.0,696.0,278.0,132.0,842.0,,500.0,384.0,,,,134.0,366.0,121,263,,,,,,330.0,53.0,277.0,AK,5.5
AK-500,2008,257633,21379,103203,7663,39036,95540,16455,141362,10720,56401,3728285,7.583367524511537,7.425171748883269,40.8582792547624,42.15339686443283,8.298238191536022,1023.0,695.0,328.0,102.0,921.0,,540.0,359.0,,,,174.0,366.0,131,228,,,,,,319.0,40.0,279.0,AK,0.4
AK-500,2009,257633,21379,103203,7663,39036,95540,16455,141362,10720,56401,3728285,7.583367524511537,7.425171748883269,40.8582792547624,42.15339686443283,8.298238191536022,1267.0,821.0,446.0,157.0,1110.0,,548.0,329.0,,,,188.0,360.0,92,237,,,,,,364.0,67.0,297.0,AK,-0.2
AK-500,2010,257633,21379,103203,7663,39036,95540,16455,141362,10720,56401,3728285,7.583367524511537,7.425171748883269,40.8582792547624,42.15339686443283,8.298238191536022,1231.0,740.0,491.0,118.0,1113.0,,548.0,442.0,,,,188.0,360.0,166,276,,,,,,378.0,52.0,326.0,AK,1.5
AK-500,2011,250934,21341,100652,7120,39558,93532,16949,136321,10352,54926,3573107,7.593841007621717,7.073878313396653,42.293546593679174,42.845947722331765,8.504626714594275,1223.0,794.0,429.0,141.0,1082.0,,579.0,477.0,,,,207.0,372.0,204,273,,,,,,449.0,81.0,368.0,AK,7.0
AK-500,2012,260904,20945,102361,7119,39235,95242,17276,143296,10717,57447,3752045,7.478924743188924,6.954797237229022,41.195061002498896,44.0321141837645,8.027856989544047,1147.0,791.0,356.0,50.0,1097.0,,571.0,430.0,,,,151.0,420.0,199,231,,,,,,516.0,155.0,361.0,AK,-12.8
AK-500,2013,275420,22448,106753,7874,40676,98879,17703,150249,11349,62502,4026484,7.553461254317832,7.375905126788005,41.13714742260743,43.52197856229718,8.150461113935082,1122.0,844.0,278.0,52.0,1070.0,,574.0,441.0,,,,154.0,420.0,156,285,,,0.0,0.0,0.0,604.0,178.0,426.0,AK,9.8
AK-500,2014,263206,23262,103608,8207,37895,95401,16427,149154,10655,59532,3931531,7.143623369135256,7.9212029959076515,39.72180585109171,43.34872674495316,8.837944423759335,1023.0,736.0,287.0,53.0,970.0,988.0,606.0,382.0,0.0,330.0,658.0,156.0,450.0,174,208,0.0,0.0,139.0,105.0,34.0,505.0,126.0,379.0,AK,18.4
AK-500,2015,294038,23777,112288,8855,41958,103433,18990,160129,10758,69646,4276757,6.718333343741609,7.885971786833856,40.56539015594636,45.259545259545256,8.086369788938844,1208.0,837.0,371.0,179.0,1029.0,1019.0,603.0,416.0,0.0,297.0,722.0,142.0,461.0,155,261,0.0,0.0,28.0,25.0,3.0,492.0,168.0,324.0,AK,7.1
AK-500,2016,289982,23327,111127,9331,41489,101796,18963,157592,9594,72098,4293890,6.08787248083659,8.396699272004103,40.75700420448741,45.70609077104775,8.044292404356131,1105.0,905.0,200.0,240.0,865.0,1007.0,553.0,454.0,0.0,344.0,655.0,147.0,398.0,197,257,0.0,0.0,55.0,48.0,7.0,434.0,84.0,350.0,AK,17.2
