CoC Number,CoC Name,CoC Category,Count Types,Homelessness.Type,Count,Year
AK-500,Anchorage CoC,Other Largely Urban CoC,NA,Overall.Homeless,974,2007
AK-500,Anchorage CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,842,2007
AK-500,Anchorage CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,132,2007
AK-500,Anchorage CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,696,2007
AK-500,Anchorage CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,278,2007
AK-501,Alaska Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless,668,2007
AK-501,Alaska Balance of State CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,545,2007
AK-501,Alaska Balance of State CoC,Largely Rural CoC,NA,Unsheltered.Homeless,123,2007
AK-501,Alaska Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,366,2007
AK-501,Alaska Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,302,2007
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,NA,Overall.Homeless,2104,2007
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,NA,Sheltered.Total.Homeless,1240,2007
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,NA,Unsheltered.Homeless,864,2007
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,NA,Overall.Homeless.Individuals,1529,2007
AL-500,"Birmingham/Jefferson, St. Clair, Shelby Counties CoC",Largely Suburban CoC,NA,Overall.Homeless.People.in.Families,575,2007
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,NA,Overall.Homeless,649,2007
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,410,2007
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,239,2007
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,499,2007
AL-501,Mobile City & County/Baldwin County CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,150,2007
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,NA,Overall.Homeless,265,2007
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,131,2007
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,NA,Unsheltered.Homeless,134,2007
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,143,2007
AL-502,Florence/Northwest Alabama CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,122,2007
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,NA,Overall.Homeless,830,2007
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,756,2007
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,74,2007
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,761,2007
AL-503,Huntsville/North Alabama CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,69,2007
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless,456,2007
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,331,2007
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,125,2007
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,392,2007
AL-504,Montgomery City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,64,2007
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,NA,Overall.Homeless,119,2007
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,NA,Sheltered.Total.Homeless,104,2007
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,NA,Unsheltered.Homeless,15,2007
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,NA,Overall.Homeless.Individuals,103,2007
AL-505,Gadsden/Northeast Alabama CoC,Largely Rural CoC,NA,Overall.Homeless.People.in.Families,16,2007
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless,345,2007
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,NA,Sheltered.Total.Homeless,332,2007
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,NA,Unsheltered.Homeless,13,2007
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless.Individuals,294,2007
AL-506,Tuscaloosa City & County CoC,Other Largely Urban CoC,NA,Overall.Homeless.People.in.Families,51,2007
AL-507,Alabama Balance of State CoC,Largely Rural CoC,NA,Overall.Homeless,684,2007
